date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,WS10M,WS10M_MAX,RH2M,PS,QV2M,ALLSKY_SFC_SW_DWN
2005-01-01,3.75,9.76,0.95,0.0,1.1,2.26,2.93,69.87,90.82,3.85,2.2308
2005-01-02,2.64,5.25,1.42,3.92,1.27,2.33,3.77,81.39,90.13,4.18,0.5647
2005-01-03,0.56,1.93,-1.71,22.56,1.64,2.82,5.16,97.01,90.16,4.28,0.751
2005-01-04,-0.58,2.74,-2.38,0.85,0.73,1.24,2.02,85.16,90.52,3.39,1.4825
2005-01-05,-1.42,0.07,-2.84,10.93,1.0,1.8,2.78,92.26,90.36,3.47,0.6406
2005-01-06,-1.98,0.57,-3.25,7.4,1.69,2.93,5.46,98.71,90.77,3.57,1.1352
2005-01-07,-0.48,1.44,-1.8,2.51,1.04,1.73,2.58,95.12,91.1,3.82,0.9662
2005-01-08,-1.42,1.89,-3.96,0.07,1.0,1.59,2.02,93.84,91.55,3.48,1.6906
2005-01-09,-2.35,3.1,-7.3,0.01,1.09,1.97,3.1,84.06,91.45,2.86,2.3885
2005-01-10,-1.02,2.87,-5.68,5.15,2.33,4.0,7.57,87.45,90.95,3.45,1.0128
2005-01-11,-1.04,0.13,-3.06,7.25,2.37,4.0,5.81,96.01,91.26,3.7,0.8825
2005-01-12,-0.64,2.44,-3.85,0.92,1.28,2.21,2.64,93.74,91.43,3.72,1.2612
2005-01-13,0.38,5.27,-3.83,0.0,1.2,2.1,3.37,85.45,91.25,3.66,2.4922
2005-01-14,-0.79,5.94,-4.26,0.0,1.87,3.52,4.61,78.71,90.73,3.12,2.6054
2005-01-15,-1.7,4.55,-5.09,0.16,1.79,3.33,4.69,76.43,90.51,2.76,2.0966
2005-01-16,0.01,5.69,-4.08,0.0,1.56,2.94,4.53,82.96,90.6,3.46,2.2574
2005-01-17,0.85,6.41,-3.35,0.0,1.39,2.48,4.53,79.1,90.75,3.5,2.3518
2005-01-18,-0.47,5.46,-4.34,0.24,1.45,2.75,4.48,85.88,90.28,3.46,2.1338
2005-01-19,-1.17,3.95,-5.43,0.59,1.24,2.16,3.74,88.7,89.94,3.41,1.9692
2005-01-20,-1.04,4.32,-5.66,0.11,1.4,2.52,4.04,81.73,90.52,3.11,2.2747
2005-01-21,-1.54,5.24,-6.03,0.35,2.34,4.47,5.87,84.9,90.64,3.11,2.5862
2005-01-22,0.95,5.42,-2.97,0.07,1.97,3.63,5.55,77.1,89.81,3.48,1.692
2005-01-23,1.9,6.74,-1.51,0.73,1.17,2.21,3.48,79.8,89.25,3.88,2.4122
2005-01-24,-1.22,-0.14,-2.75,11.12,2.26,3.79,6.25,93.49,89.85,3.59,0.5842
2005-01-25,-1.3,3.02,-5.94,3.76,1.45,2.52,3.94,80.98,90.7,3.01,2.4326
2005-01-26,0.71,5.84,-2.33,0.0,1.69,3.27,4.38,80.67,90.64,3.59,1.5905
2005-01-27,0.75,5.94,-3.51,0.0,2.11,4.12,5.6,82.62,90.45,3.71,2.2726
2005-01-28,2.28,7.59,-1.81,0.0,1.59,3.09,4.0,74.28,90.68,3.73,1.691
2005-01-29,3.37,7.42,0.52,0.01,1.97,3.92,4.91,80.59,90.38,4.38,1.3985
2005-01-30,3.21,5.91,0.95,3.17,2.16,3.99,6.12,83.69,90.0,4.5,0.9562
2005-01-31,1.08,3.97,-2.12,15.33,1.03,1.69,3.43,93.6,89.98,4.29,0.9144
2005-02-01,0.14,4.73,-3.09,2.56,0.96,1.54,2.26,86.3,89.58,3.66,2.0314
2005-02-02,0.01,3.97,-2.89,1.11,0.82,1.25,2.06,85.24,90.18,3.55,2.581
2005-02-03,-0.36,4.58,-4.68,0.09,0.95,1.71,3.32,79.02,90.38,3.17,3.0046
2005-02-04,-2.06,5.11,-7.33,0.04,1.9,3.45,5.79,78.86,89.83,2.74,2.7434
2005-02-05,-2.01,2.8,-5.66,5.69,1.46,2.45,3.96,91.41,89.88,3.28,1.2497
2005-02-06,-3.55,-1.24,-5.42,15.28,0.87,1.35,2.26,97.56,90.32,3.12,1.2367
2005-02-07,-2.94,-1.62,-5.17,22.77,2.01,3.12,4.62,97.22,90.46,3.25,1.1112
2005-02-08,-5.1,-2.68,-7.52,17.15,1.22,1.98,2.91,97.16,90.61,2.71,1.3058
2005-02-09,-6.68,-1.83,-12.95,7.58,1.22,2.02,3.06,94.07,90.81,2.31,1.3322
2005-02-10,-6.13,-4.66,-8.31,3.84,1.62,2.47,3.49,99.13,91.13,2.56,1.4323
2005-02-11,-7.24,-4.58,-9.08,1.89,0.97,1.5,2.32,97.24,90.99,2.26,2.1552
2005-02-12,-7.58,-2.62,-11.19,0.13,1.16,1.92,3.31,86.29,90.78,1.94,2.8963
2005-02-13,-8.54,-1.11,-14.03,0.03,1.98,3.43,5.38,86.89,90.58,1.85,3.2573
2005-02-14,-4.9,2.52,-12.85,0.0,2.22,4.08,5.9,91.13,90.65,2.71,3.2537
2005-02-15,-0.56,3.47,-5.08,0.0,2.72,5.0,6.35,88.42,90.77,3.58,3.6106
2005-02-16,1.02,4.5,-2.94,0.0,3.09,5.54,7.44,85.2,90.74,3.88,3.523
2005-02-17,2.34,6.32,-0.93,0.0,2.05,4.06,5.73,79.74,90.66,4.01,3.3012
2005-02-18,3.71,8.32,-0.44,0.11,2.12,4.22,6.17,81.87,90.45,4.57,2.899
2005-02-19,4.49,7.15,2.83,3.79,0.67,1.39,2.76,87.88,90.07,5.14,0.8371
2005-02-20,2.87,4.53,1.16,9.27,0.73,1.1,2.3,93.05,89.74,4.87,1.0836
2005-02-21,0.71,2.59,-2.35,4.96,1.35,2.12,4.17,92.18,90.3,4.1,1.7071
2005-02-22,1.59,6.74,-2.83,0.0,0.99,1.66,3.23,70.21,90.86,3.23,3.7092
2005-02-23,2.03,7.6,-2.21,0.0,1.03,1.97,3.2,73.81,90.94,3.52,3.8462
2005-02-24,2.26,8.38,-2.48,0.0,1.51,2.92,4.57,74.69,90.5,3.66,3.5539
2005-02-25,3.39,7.05,0.2,0.16,1.01,1.87,2.42,78.43,90.53,4.22,3.174
2005-02-26,4.0,9.44,-1.25,0.12,1.21,2.53,4.03,77.29,90.44,4.31,3.7738
2005-02-27,4.38,7.91,0.75,0.89,1.57,3.26,4.52,82.8,89.83,4.84,1.5362
2005-02-28,4.67,7.16,1.94,2.08,1.14,2.48,4.31,85.94,89.44,5.14,0.9446
2005-03-01,3.74,6.69,1.38,4.76,0.9,1.44,3.28,88.99,89.72,4.93,1.8226
2005-03-02,5.82,7.64,2.73,1.34,1.33,2.88,4.65,85.75,89.94,5.5,0.9029
2005-03-03,6.85,10.26,4.32,3.83,1.05,2.32,3.71,84.64,89.73,5.83,0.9221
2005-03-04,-0.38,3.28,-2.49,9.8,1.47,2.36,3.45,96.21,90.44,3.94,0.9278
2005-03-05,0.74,6.83,-3.67,0.39,0.98,1.9,3.89,77.72,90.75,3.33,4.6462
2005-03-06,4.15,8.9,-0.8,0.14,1.66,3.45,4.94,74.26,90.22,4.28,2.201
2005-03-07,5.22,9.34,1.41,0.23,0.83,1.89,3.28,81.2,90.29,4.96,2.0654
2005-03-08,4.89,9.63,1.19,0.62,1.28,2.75,4.53,82.53,89.67,4.98,1.7366
2005-03-09,0.61,4.82,-2.06,13.68,2.01,3.38,5.24,93.1,89.78,4.13,0.923
2005-03-10,-1.32,0.82,-2.81,3.79,0.73,1.23,2.81,91.58,89.93,3.48,2.2718
