date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,WS10M,WS10M_MAX,RH2M,PS,QV2M,ALLSKY_SFC_SW_DWN
2005-01-01,3.94,9.01,0.68,0.3,0.57,1.88,3.01,85.43,93.93,4.62,1.8454
2005-01-02,3.06,5.78,1.63,3.22,0.55,1.81,2.98,86.82,93.25,4.44,0.667
2005-01-03,1.49,2.8,-1.55,16.73,0.39,1.56,3.18,97.96,93.17,4.48,0.8071
2005-01-04,-1.09,1.8,-3.92,4.62,0.47,1.44,2.02,92.26,93.71,3.43,1.2917
2005-01-05,-0.56,1.5,-3.1,7.74,0.38,1.3,2.01,94.76,93.49,3.69,0.8412
2005-01-06,-2.54,-0.33,-4.73,9.77,0.53,1.36,1.71,98.25,93.84,3.29,0.9773
2005-01-07,-1.07,1.34,-2.34,6.87,0.42,1.17,1.73,94.99,94.25,3.52,1.1057
2005-01-08,-0.32,2.3,-2.12,0.26,0.4,0.99,1.44,92.92,94.7,3.63,1.5792
2005-01-09,-0.51,3.51,-2.46,0.04,0.45,1.07,1.83,89.09,94.64,3.43,1.921
2005-01-10,-0.43,1.87,-2.81,4.22,0.55,1.57,2.76,91.23,93.95,3.6,0.9458
2005-01-11,-0.76,1.28,-2.02,17.68,0.41,1.68,3.2,96.79,94.16,3.69,1.259
2005-01-12,-0.74,0.63,-1.89,3.47,0.41,1.4,1.66,99.6,94.47,3.84,0.8902
2005-01-13,1.16,5.63,-2.13,0.01,0.43,1.13,2.23,90.85,94.38,4.01,1.962
2005-01-14,-0.48,5.25,-4.02,0.0,0.74,2.41,2.68,78.56,93.89,3.11,2.3455
2005-01-15,0.36,7.14,-3.48,0.02,0.65,1.78,2.48,68.81,93.66,2.79,2.1552
2005-01-16,0.12,5.68,-3.57,0.0,0.81,2.19,2.82,71.64,93.76,2.94,2.0462
2005-01-17,1.09,8.03,-2.87,0.0,0.68,1.84,2.76,71.04,93.91,3.1,2.3525
2005-01-18,0.02,5.02,-2.85,0.03,0.9,3.32,3.64,88.0,93.52,3.59,2.1946
2005-01-19,-0.57,5.13,-4.88,0.12,0.84,2.31,3.52,83.03,93.12,3.24,2.0906
2005-01-20,-1.11,4.03,-3.94,0.02,0.54,1.48,2.19,88.38,93.67,3.3,1.6378
2005-01-21,-0.55,5.26,-3.25,0.03,0.75,2.59,3.64,85.73,93.84,3.33,2.6114
2005-01-22,-0.31,5.51,-3.58,0.02,0.89,3.06,3.86,79.15,93.02,3.18,1.9128
2005-01-23,0.95,7.5,-3.59,0.07,0.58,1.87,3.17,76.85,92.36,3.37,2.2474
2005-01-24,-0.58,0.55,-3.03,8.1,0.65,1.99,2.94,96.21,92.86,3.77,0.8405
2005-01-25,-2.37,1.57,-4.92,3.72,0.67,1.84,2.65,84.23,93.89,2.8,2.4984
2005-01-26,0.57,3.7,-2.7,0.01,0.8,2.75,3.24,85.59,93.88,3.65,1.1981
2005-01-27,1.57,5.7,-1.91,0.0,1.1,3.8,4.67,83.11,93.67,3.79,2.2661
2005-01-28,2.99,9.58,-1.25,0.0,0.71,2.26,3.77,75.24,93.8,3.76,1.8504
2005-01-29,3.1,5.44,0.24,0.02,1.01,3.39,4.1,85.45,93.55,4.37,0.9326
2005-01-30,3.38,5.89,0.85,2.09,0.85,2.93,4.19,87.1,93.16,4.56,1.1935
2005-01-31,2.56,7.02,0.09,11.6,0.56,1.59,2.38,93.92,93.07,4.63,0.9634
2005-02-01,1.06,4.61,-1.7,3.35,0.53,1.42,1.97,85.92,92.72,3.78,2.4818
2005-02-02,-0.03,4.56,-3.68,0.72,0.43,1.11,2.38,89.71,93.32,3.61,2.1713
2005-02-03,-0.04,4.94,-3.23,0.66,0.58,1.71,3.4,88.06,93.57,3.53,2.4691
2005-02-04,-2.09,2.69,-4.93,0.07,1.56,4.89,5.99,81.67,93.15,2.8,2.8978
2005-02-05,-3.41,0.97,-6.8,1.25,1.44,4.48,5.45,80.72,93.18,2.51,2.0712
2005-02-06,-3.25,0.45,-5.59,6.07,0.85,2.43,3.74,84.66,93.54,2.63,1.992
2005-02-07,-4.21,-1.25,-6.43,11.95,1.13,3.19,4.25,90.64,93.69,2.61,1.3718
2005-02-08,-5.43,-0.97,-9.44,8.48,0.92,2.44,4.21,90.96,93.92,2.37,2.2099
2005-02-09,-6.79,0.35,-13.8,1.2,0.67,1.8,2.85,85.48,94.05,2.08,2.5834
2005-02-10,-5.64,-2.53,-8.0,6.04,0.62,1.48,2.32,97.32,94.31,2.5,1.4119
2005-02-11,-5.35,-2.8,-6.76,2.12,0.47,1.06,2.21,97.52,94.17,2.55,1.9099
2005-02-12,-6.61,-2.47,-11.44,0.15,0.49,1.1,2.37,97.73,94.0,2.32,2.6352
2005-02-13,-8.37,-1.2,-13.1,0.01,0.82,2.37,3.08,89.87,93.82,1.95,3.2278
2005-02-14,-5.79,0.85,-12.64,0.0,0.86,2.68,3.21,84.41,93.88,2.25,3.4392
2005-02-15,0.3,5.8,-3.96,0.0,1.18,3.61,5.45,81.26,94.02,3.41,3.6413
2005-02-16,2.4,7.64,-1.79,0.0,1.79,5.37,6.24,74.77,94.06,3.62,3.672
2005-02-17,4.14,10.28,0.1,0.0,1.22,3.74,5.41,72.86,93.83,3.99,2.801
