datetime,ALLSKY_SFC_SW_DWN,PRECTOTCORR,PS,QV2M,RH2M,T2M,WS10M,WS2M
2020-01-01 00:00:00,0.0,17.79,93.52,5.33,99.37,3.83,0.5,0.16
2020-01-01 01:00:00,0.0,15.02,93.47,5.37,99.64,3.89,0.5,0.14
2020-01-01 02:00:00,0.0,16.11,93.43,5.4,99.94,3.92,0.45,0.13
2020-01-01 03:00:00,0.0,15.53,93.36,5.4,100.0,3.89,0.42,0.14
2020-01-01 04:00:00,0.0,12.57,93.29,5.33,99.68,3.75,0.43,0.19
2020-01-01 05:00:00,0.0,9.44,93.25,5.26,100.0,3.51,0.46,0.19
2020-01-01 06:00:00,0.0,8.16,93.24,5.05,100.0,2.89,0.62,0.23
2020-01-01 07:00:00,0.0,7.41,93.25,4.89,100.0,2.45,0.8,0.3
2020-01-01 08:00:00,36.35,7.21,93.28,4.98,98.77,2.92,0.75,0.23
2020-01-01 09:00:00,88.95,10.04,93.31,5.16,94.84,4.0,1.09,0.3
2020-01-01 10:00:00,116.68,14.63,93.33,5.16,92.5,4.36,1.71,0.5
2020-01-01 11:00:00,111.93,18.08,93.32,5.14,91.11,4.52,2.11,0.61
2020-01-01 12:00:00,105.57,17.46,93.3,5.08,89.84,4.55,2.27,0.64
2020-01-01 13:00:00,81.1,17.35,93.28,5.0,89.41,4.39,2.14,0.6
2020-01-01 14:00:00,77.8,13.34,93.29,4.96,90.4,4.12,1.85,0.52
2020-01-01 15:00:00,62.92,9.75,93.32,4.94,93.49,3.59,1.46,0.39
2020-01-01 16:00:00,11.5,9.53,93.35,4.77,97.71,2.48,1.3,0.41
2020-01-01 17:00:00,0.0,11.53,93.4,4.63,98.49,1.96,1.02,0.32
2020-01-01 18:00:00,0.0,17.75,93.46,4.53,98.24,1.7,0.68,0.2
2020-01-01 19:00:00,0.0,24.18,93.51,4.43,97.58,1.49,0.43,0.17
2020-01-01 20:00:00,0.0,27.94,93.54,4.35,96.47,1.4,0.22,0.15
2020-01-01 21:00:00,0.0,8.41,93.57,4.32,95.85,1.4,0.04,0.11
2020-01-01 22:00:00,0.0,8.82,93.6,4.27,95.59,1.28,0.09,0.13
2020-01-01 23:00:00,0.0,12.54,93.63,4.17,95.08,1.03,0.23,0.15
2020-01-02 00:00:00,0.0,14.2,93.66,4.11,94.63,0.9,0.33,0.14
2020-01-02 01:00:00,0.0,14.77,93.69,4.04,94.27,0.72,0.31,0.13
2020-01-02 02:00:00,0.0,14.53,93.73,4.03,94.82,0.61,0.25,0.11
2020-01-02 03:00:00,0.0,13.81,93.74,4.02,94.74,0.59,0.2,0.1
2020-01-02 04:00:00,0.0,11.88,93.74,4.01,95.33,0.47,0.25,0.1
2020-01-02 05:00:00,0.0,10.0,93.77,3.97,95.44,0.32,0.43,0.16
2020-01-02 06:00:00,0.0,9.58,93.82,3.91,95.15,0.16,0.49,0.18
2020-01-02 07:00:00,0.0,8.67,93.86,3.84,94.91,-0.04,0.48,0.18
2020-01-02 08:00:00,41.45,6.97,93.93,3.84,94.38,0.04,0.32,0.12
2020-01-02 09:00:00,84.9,5.48,93.98,3.94,93.71,0.5,0.4,0.14
2020-01-02 10:00:00,93.57,4.18,94.03,4.08,92.76,1.13,1.05,0.34
2020-01-02 11:00:00,184.1,3.27,94.02,4.11,91.37,1.44,1.57,0.48
2020-01-02 12:00:00,201.4,2.02,94.0,4.11,89.86,1.67,1.83,0.53
2020-01-02 13:00:00,189.18,1.27,94.0,4.11,88.33,1.91,1.88,0.53
2020-01-02 14:00:00,159.27,0.8,94.02,4.09,87.1,2.04,1.71,0.49
2020-01-02 15:00:00,83.47,0.54,94.05,4.13,90.02,1.72,1.22,0.35
2020-01-02 16:00:00,12.57,0.48,94.08,3.95,96.32,0.17,1.17,0.42
2020-01-02 17:00:00,0.0,0.5,94.12,3.88,100.0,-0.57,1.22,0.54
2020-01-02 18:00:00,0.0,0.52,94.17,3.88,100.0,-0.52,0.98,0.5
2020-01-02 19:00:00,0.0,0.42,94.2,3.81,98.9,-0.59,0.9,0.51
2020-01-02 20:00:00,0.0,0.38,94.22,3.68,98.61,-0.97,1.15,0.63
2020-01-02 21:00:00,0.0,0.0,94.23,3.53,97.97,-1.39,1.23,0.64
2020-01-02 22:00:00,0.0,0.0,94.25,3.4,96.62,-1.67,1.29,0.65
2020-01-02 23:00:00,0.0,0.0,94.26,3.29,93.81,-1.71,1.37,0.66
2020-01-03 00:00:00,0.0,0.0,94.26,3.23,93.03,-1.83,1.42,0.61
2020-01-03 01:00:00,0.0,0.01,94.26,3.16,92.09,-1.97,1.39,0.64
2020-01-03 02:00:00,0.0,0.01,94.26,3.0,88.17,-2.07,1.31,0.68
2020-01-03 03:00:00,0.0,0.0,94.26,2.83,83.95,-2.18,1.2,0.67
2020-01-03 04:00:00,0.0,0.0,94.25,2.81,85.4,-2.47,1.23,0.65
2020-01-03 05:00:00,0.0,0.0,94.24,2.75,87.53,-3.02,1.37,0.63
2020-01-03 06:00:00,0.0,0.0,94.25,2.74,87.44,-3.05,1.27,0.54
2020-01-03 07:00:00,0.0,0.0,94.28,2.65,86.55,-3.32,1.35,0.59
