date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,WS2M,WS10M,WS10M_MAX,RH2M,PS,QV2M,ALLSKY_SFC_SW_DWN
2005-01-01,4.19,10.64,0.85,0.01,1.13,1.84,3.92,76.31,94.43,4.16,2.075
2005-01-02,3.48,7.65,1.1,0.04,0.84,1.49,2.78,78.6,93.67,4.05,0.8021
2005-01-03,3.26,5.81,1.47,1.26,3.55,5.5,9.25,73.24,93.15,3.79,1.0898
2005-01-04,2.0,8.62,-2.66,0.09,1.97,3.25,7.47,63.15,93.96,2.83,1.9231
2005-01-05,0.51,4.25,-2.12,6.4,1.11,1.89,3.78,86.99,93.77,3.65,0.5441
2005-01-06,0.48,5.95,-3.6,0.43,3.67,5.67,9.0,69.04,93.89,2.82,2.1996
2005-01-07,0.87,6.31,-3.61,0.14,1.2,2.03,3.23,60.0,94.54,2.53,1.793
2005-01-08,0.05,5.16,-3.5,0.0,0.81,1.33,2.36,70.85,95.04,2.81,1.8655
2005-01-09,0.73,8.54,-3.77,0.0,1.89,3.1,4.43,62.63,94.83,2.59,2.3887
2005-01-10,2.12,8.56,-1.92,0.25,3.62,5.57,7.95,59.4,94.01,2.77,2.2289
2005-01-11,0.88,5.01,-2.75,0.57,4.24,6.33,10.03,64.67,94.21,2.71,2.0614
2005-01-12,3.03,8.79,-1.78,0.33,5.19,7.67,11.76,65.27,94.33,3.21,1.9901
2005-01-13,3.05,11.03,-2.0,0.0,2.16,3.41,6.01,69.02,94.53,3.33,2.5039
2005-01-14,2.19,9.15,-1.51,0.0,0.62,1.0,2.4,61.51,94.44,2.83,2.7475
2005-01-15,1.45,8.32,-1.82,0.01,0.79,1.33,2.24,56.0,94.15,2.43,2.3369
2005-01-16,0.84,7.05,-2.91,0.0,0.86,1.34,2.07,59.32,94.27,2.51,2.1449
2005-01-17,1.88,8.87,-1.58,0.0,1.17,1.93,2.69,58.63,94.39,2.63,2.5265
2005-01-18,-0.52,3.29,-2.73,0.03,1.08,1.71,3.08,88.64,94.27,3.45,1.338
2005-01-19,-0.99,1.49,-2.5,0.4,0.81,1.42,2.37,90.07,93.64,3.36,1.62
