datetime,ALLSKY_SFC_SW_DWN,PRECTOTCORR,PS,QV2M,RH2M,T2M,WS10M,WS2M
2020-01-01 00:00:00,0.0,0.01,93.7,3.78,90.62,0.35,3.29,1.6
2020-01-01 01:00:00,0.0,0.01,93.67,3.65,88.89,0.13,3.28,1.59
2020-01-01 02:00:00,0.0,0.02,93.65,3.52,86.75,-0.03,3.27,1.61
2020-01-01 03:00:00,0.0,0.03,93.61,3.4,84.73,-0.17,3.26,1.62
2020-01-01 04:00:00,0.0,0.03,93.57,3.32,83.26,-0.25,3.22,1.64
2020-01-01 05:00:00,0.0,0.03,93.56,3.26,81.95,-0.28,3.12,1.63
2020-01-01 06:00:00,0.0,0.03,93.56,3.2,80.51,-0.29,2.96,1.59
2020-01-01 07:00:00,4.32,0.05,93.56,3.13,78.1,-0.19,2.86,1.55
2020-01-01 08:00:00,68.53,0.07,93.56,3.15,64.69,2.49,2.98,1.83
2020-01-01 09:00:00,165.95,0.08,93.56,3.28,54.69,5.45,2.96,2.2
2020-01-01 10:00:00,222.0,0.12,93.53,3.63,50.41,8.1,2.87,2.2
2020-01-01 11:00:00,289.9,0.15,93.45,3.78,47.13,9.68,3.49,2.67
2020-01-01 12:00:00,253.45,0.13,93.39,3.83,46.61,10.03,4.08,3.07
2020-01-01 13:00:00,202.2,0.11,93.37,3.81,47.12,9.79,4.48,3.31
2020-01-01 14:00:00,140.2,0.09,93.38,3.76,48.03,9.31,4.48,3.23
2020-01-01 15:00:00,66.68,0.06,93.41,3.81,53.27,7.98,3.09,2.02
2020-01-01 16:00:00,8.62,0.03,93.46,3.72,66.6,4.41,2.57,1.13
2020-01-01 17:00:00,0.0,0.01,93.52,3.62,71.84,2.96,2.74,1.18
2020-01-01 18:00:00,0.0,0.0,93.57,3.59,75.36,2.18,2.85,1.26
2020-01-01 19:00:00,0.0,0.0,93.6,3.57,78.31,1.57,2.93,1.34
2020-01-01 20:00:00,0.0,0.0,93.62,3.55,81.73,0.9,2.92,1.34
2020-01-01 21:00:00,0.0,0.0,93.65,3.49,85.67,0.02,3.03,1.42
2020-01-01 22:00:00,0.0,0.0,93.67,3.4,86.27,-0.38,3.31,1.7
2020-01-01 23:00:00,0.0,0.0,93.68,3.29,84.53,-0.53,3.64,2.0
2020-01-02 00:00:00,0.0,0.0,93.7,3.16,82.02,-0.65,3.83,2.16
2020-01-02 01:00:00,0.0,0.0,93.73,3.06,80.32,-0.78,3.79,2.12
2020-01-02 02:00:00,0.0,0.0,93.77,2.98,79.69,-1.0,3.71,2.04
2020-01-02 03:00:00,0.0,0.0,93.78,2.92,78.63,-1.08,3.7,2.01
2020-01-02 04:00:00,0.0,0.0,93.81,2.91,78.31,-1.07,3.73,1.97
2020-01-02 05:00:00,0.0,0.0,93.85,2.95,79.36,-1.06,3.69,1.91
2020-01-02 06:00:00,0.0,0.0,93.91,3.0,80.69,-1.05,3.74,1.92
2020-01-02 07:00:00,5.25,0.01,93.97,3.02,79.02,-0.71,3.7,1.94
2020-01-02 08:00:00,80.53,0.02,94.02,3.08,63.47,2.51,4.26,2.75
2020-01-02 09:00:00,185.07,0.05,94.06,3.13,55.37,4.68,4.74,3.33
2020-01-02 10:00:00,246.85,0.12,94.07,3.27,52.11,6.18,5.43,3.85
2020-01-02 11:00:00,257.0,0.19,94.03,3.32,48.93,7.31,6.03,4.3
2020-01-02 12:00:00,242.35,0.2,94.0,3.27,45.93,8.01,6.08,4.34
2020-01-02 13:00:00,211.6,0.18,94.0,3.21,44.36,8.25,5.88,4.18
2020-01-02 14:00:00,148.57,0.12,94.03,3.2,45.49,7.84,5.44,3.81
2020-01-02 15:00:00,71.75,0.06,94.09,3.32,51.34,6.62,4.25,2.84
2020-01-02 16:00:00,9.82,0.04,94.15,3.34,60.9,4.26,3.28,1.91
2020-01-02 17:00:00,0.0,0.04,94.23,3.31,65.97,3.01,2.95,1.61
2020-01-02 18:00:00,0.0,0.04,94.28,3.34,68.67,2.58,2.7,1.46
2020-01-02 19:00:00,0.0,0.05,94.33,3.39,71.23,2.28,2.58,1.4
2020-01-02 20:00:00,0.0,0.05,94.35,3.42,73.22,2.02,2.42,1.29
2020-01-02 21:00:00,0.0,0.05,94.35,3.43,74.93,1.74,2.26,1.15
2020-01-02 22:00:00,0.0,0.06,94.37,3.41,75.9,1.48,2.21,1.08
2020-01-02 23:00:00,0.0,0.08,94.37,3.37,76.66,1.18,2.27,1.08
2020-01-03 00:00:00,0.0,0.12,94.38,3.33,77.35,0.89,2.25,1.05
