city,latitude,longitude,datetime,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
Hamburg,53.5511,9.9937,2025-01-01 00:00:00,3.53,2.12,2.83,3.23,4.4,90.38,0.93,100.82,11.39,225.5,15.03,227.6,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 01:00:00,4.13,2.69,3.41,3.79,4.58,90.1,1.41,100.74,12.05,227.9,15.94,229.8,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 02:00:00,4.59,3.15,3.87,4.24,4.74,90.21,2.61,100.67,12.55,229.8,16.54,231.6,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 03:00:00,4.89,3.48,4.18,4.54,4.86,90.51,4.03,100.61,12.95,231.3,17.05,233.2,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 04:00:00,5.2,3.8,4.5,4.83,4.97,90.52,5.09,100.55,13.12,231.3,17.25,233.1,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 05:00:00,5.53,4.13,4.83,5.13,5.09,90.53,6.96,100.47,13.48,230.9,17.86,232.8,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 06:00:00,5.81,4.39,5.1,5.37,5.19,90.47,9.7,100.4,13.61,231.0,17.95,232.8,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 07:00:00,5.96,4.52,5.24,5.5,5.24,90.35,6.4,100.35,13.49,230.3,17.79,232.1,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 08:00:00,5.97,4.5,5.23,5.51,5.24,90.24,2.57,100.3,13.28,228.5,17.5,230.3,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 09:00:00,5.96,4.37,5.17,5.54,5.19,89.4,1.35,100.25,13.21,226.4,17.38,228.2,21.88,45.97
Hamburg,53.5511,9.9937,2025-01-01 10:00:00,5.97,4.2,5.08,5.61,5.13,88.24,1.49,100.18,13.33,225.8,17.53,227.6,52.0,123.97
Hamburg,53.5511,9.9937,2025-01-01 11:00:00,5.97,4.04,5.0,5.61,5.08,87.33,1.44,100.11,13.59,226.1,17.84,227.8,68.72,180.3
Hamburg,53.5511,9.9937,2025-01-01 12:00:00,6.01,4.02,5.02,5.65,5.07,86.82,1.46,100.01,13.89,227.0,18.27,228.7,67.6,199.55
Hamburg,53.5511,9.9937,2025-01-01 13:00:00,6.21,4.18,5.2,5.83,5.14,86.7,1.82,99.89,14.08,226.6,18.54,228.4,42.55,175.57
Hamburg,53.5511,9.9937,2025-01-01 14:00:00,6.52,4.48,5.5,6.09,5.26,86.72,3.58,99.74,14.48,225.7,19.09,227.5,17.77,119.47
Hamburg,53.5511,9.9937,2025-01-01 15:00:00,6.75,4.8,5.77,6.27,5.38,87.19,9.39,99.62,14.94,226.9,19.71,228.6,8.8,43.4
Hamburg,53.5511,9.9937,2025-01-01 16:00:00,6.62,4.9,5.76,6.14,5.42,88.57,17.88,99.56,14.92,229.8,19.69,231.3,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 17:00:00,6.31,4.85,5.58,5.87,5.4,90.13,22.14,99.54,14.48,232.8,19.13,234.2,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 18:00:00,6.11,4.85,5.48,5.71,5.41,91.53,20.33,99.52,13.7,234.6,18.04,235.8,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 19:00:00,6.0,4.94,5.47,5.63,5.44,92.73,25.57,99.51,12.49,237.8,16.45,238.9,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 20:00:00,5.88,5.06,5.47,5.53,5.49,94.39,17.87,99.54,11.14,242.4,14.66,243.5,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 21:00:00,5.78,5.11,5.45,5.44,5.5,95.25,7.77,99.57,9.94,245.4,13.18,246.7,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 22:00:00,5.63,5.06,5.35,5.24,5.48,95.92,4.13,99.59,9.48,246.4,12.62,247.7,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-01 23:00:00,5.46,4.92,5.19,5.15,5.43,96.2,6.11,99.61,9.5,246.2,12.58,247.5,0.0,0.0
Hamburg,53.5511,9.9937,2025-01-02 00:00:00,5.34,4.79,5.07,5.11,5.38,96.13,9.3,99.63,9.47,250.1,12.48,251.5,0.0,0.0
