city,latitude,longitude,datetime,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
London,51.5074,-0.1278,2025-01-01 00:00:00,10.28,9.02,9.65,9.8,7.14,91.67,1.91,100.38,13.74,224.3,18.17,225.6,0.0,0.0
London,51.5074,-0.1278,2025-01-01 01:00:00,10.39,9.04,9.71,9.9,7.16,91.21,1.53,100.33,13.78,224.9,18.26,226.2,0.0,0.0
London,51.5074,-0.1278,2025-01-01 02:00:00,10.47,9.04,9.75,9.96,7.16,90.68,0.9,100.28,13.75,225.1,18.24,226.4,0.0,0.0
London,51.5074,-0.1278,2025-01-01 03:00:00,10.52,9.05,9.79,10.01,7.18,90.56,0.78,100.2,13.74,223.8,18.23,225.2,0.0,0.0
London,51.5074,-0.1278,2025-01-01 04:00:00,10.59,9.06,9.83,10.06,7.19,90.17,0.53,100.1,13.9,222.1,18.45,223.7,0.0,0.0
London,51.5074,-0.1278,2025-01-01 05:00:00,10.67,9.12,9.89,10.13,7.22,89.96,0.45,99.99,14.06,221.7,18.68,223.2,0.0,0.0
London,51.5074,-0.1278,2025-01-01 06:00:00,10.73,9.23,9.98,10.19,7.28,90.25,0.93,99.88,14.13,220.7,18.76,222.3,0.0,0.0
London,51.5074,-0.1278,2025-01-01 07:00:00,10.73,9.3,10.01,10.21,7.33,90.75,1.21,99.76,14.38,218.7,19.03,220.3,0.0,0.0
London,51.5074,-0.1278,2025-01-01 08:00:00,10.77,9.34,10.06,10.3,7.36,90.79,1.33,99.66,15.02,218.6,19.84,220.3,7.05,14.23
London,51.5074,-0.1278,2025-01-01 09:00:00,10.94,9.41,10.17,10.52,7.39,90.1,2.69,99.62,15.35,220.6,20.19,222.1,37.67,99.45
