city,latitude,longitude,datetime,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
Madrid,40.4168,-3.7038,2025-01-01 00:00:00,0.49,-2.13,-0.82,-3.32,3.47,82.53,0.0,93.89,2.25,73.5,3.33,73.1,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-01 01:00:00,-0.08,-1.68,-0.88,-3.58,3.6,89.29,0.0,93.87,2.26,75.9,3.36,75.7,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-01 02:00:00,-0.68,-1.14,-0.91,-3.81,3.75,97.73,0.0,93.87,2.25,76.6,3.41,76.2,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-01 03:00:00,-1.15,-0.79,-0.97,-3.98,3.85,100.0,0.0,93.85,2.18,74.1,3.36,73.6,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-01 04:00:00,-1.32,-0.73,-1.02,-3.72,3.86,100.0,0.0,93.83,2.1,68.2,3.39,67.6,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-01 05:00:00,-0.99,-0.85,-0.92,-2.85,3.82,100.0,0.0,93.83,1.88,61.4,3.49,61.0,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-01 06:00:00,-0.59,-0.98,-0.79,-2.36,3.78,97.75,0.0,93.84,2.21,56.8,3.47,56.4,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-01 07:00:00,-0.05,-0.81,-0.43,-1.81,3.82,94.49,0.0,93.86,2.39,54.2,3.18,54.0,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-01 08:00:00,1.31,-0.29,0.51,1.0,3.97,88.96,0.0,93.88,2.26,51.7,2.82,51.2,98.28,109.0
Madrid,40.4168,-3.7038,2025-01-01 09:00:00,3.18,0.6,1.89,4.43,4.24,83.16,0.0,93.91,2.0,48.4,2.21,48.7,225.85,254.07
Madrid,40.4168,-3.7038,2025-01-01 10:00:00,5.1,1.17,3.13,7.18,4.41,75.58,0.0,93.92,1.14,64.6,1.26,67.5,334.35,376.0
Madrid,40.4168,-3.7038,2025-01-01 11:00:00,6.36,1.77,4.07,9.49,4.61,72.36,0.0,93.88,0.9,130.1,1.04,126.8,396.98,449.25
Madrid,40.4168,-3.7038,2025-01-01 12:00:00,7.64,2.14,4.89,11.28,4.74,68.07,0.0,93.8,1.4,168.9,1.57,165.3,406.12,463.02
Madrid,40.4168,-3.7038,2025-01-01 13:00:00,9.13,2.02,5.58,11.82,4.7,60.95,0.0,93.7,2.07,184.2,2.28,181.3,361.1,422.4
Madrid,40.4168,-3.7038,2025-01-01 14:00:00,9.25,1.91,5.58,10.74,4.67,60.04,0.0,93.66,2.13,196.1,2.36,193.7,282.77,328.3
Madrid,40.4168,-3.7038,2025-01-01 15:00:00,8.41,2.55,5.48,8.19,4.9,66.67,0.0,93.65,1.66,209.2,2.22,208.8,164.85,190.85
Madrid,40.4168,-3.7038,2025-01-01 16:00:00,5.78,2.19,3.99,2.48,4.77,77.74,0.0,93.66,1.39,232.3,2.08,231.3,36.72,40.58
Madrid,40.4168,-3.7038,2025-01-01 17:00:00,4.48,1.42,2.95,-0.16,4.5,80.32,0.0,93.68,1.25,256.6,1.76,255.5,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-01 18:00:00,3.85,1.42,2.63,-1.02,4.5,83.98,0.0,93.7,1.03,285.8,1.41,285.2,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-01 19:00:00,3.21,1.38,2.3,-1.73,4.49,87.69,0.0,93.72,0.94,319.3,1.28,319.7,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-01 20:00:00,2.87,1.32,2.1,-2.33,4.47,89.43,0.0,93.73,0.91,347.3,1.26,348.6,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-01 21:00:00,2.5,1.25,1.88,-2.78,4.45,91.4,0.0,93.72,0.84,15.2,1.15,16.7,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-01 22:00:00,2.95,1.2,2.08,-3.19,4.43,88.13,0.0,93.72,0.56,50.1,0.68,55.1,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-01 23:00:00,3.02,1.18,2.1,-3.52,4.42,87.5,0.0,93.73,0.32,75.5,0.39,84.1,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 00:00:00,3.0,1.19,2.1,-3.79,4.43,87.8,0.0,93.7,0.07,74.0,0.08,113.2,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 01:00:00,2.76,1.21,1.99,-3.85,4.44,89.47,0.0,93.67,0.12,228.4,0.2,225.0,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 02:00:00,2.47,1.25,1.86,-3.94,4.45,91.5,0.0,93.63,0.35,221.5,0.5,220.1,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 03:00:00,2.16,1.29,1.72,-3.86,4.47,93.93,0.0,93.59,0.51,217.8,0.7,218.0,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 04:00:00,1.73,1.32,1.52,-4.1,4.48,97.04,0.0,93.56,0.54,222.0,0.7,223.3,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 05:00:00,1.44,1.34,1.39,-4.39,4.48,99.09,0.0,93.57,0.44,273.9,0.56,276.1,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 06:00:00,1.13,1.32,1.23,-4.42,4.47,100.0,0.0,93.6,0.56,325.2,0.74,325.5,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 07:00:00,0.91,1.28,1.1,-4.22,4.46,100.0,0.0,93.63,0.57,2.0,0.76,1.5,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 08:00:00,1.59,1.32,1.46,0.59,4.47,97.9,0.0,93.65,0.52,52.0,0.76,50.9,93.3,105.07
Madrid,40.4168,-3.7038,2025-01-02 09:00:00,3.31,1.57,2.44,4.96,4.55,88.21,0.0,93.7,0.69,94.1,0.66,95.2,214.82,249.15
Madrid,40.4168,-3.7038,2025-01-02 10:00:00,5.53,1.43,3.48,8.16,4.51,74.86,0.0,93.73,0.84,207.8,1.04,221.5,318.75,373.12
Madrid,40.4168,-3.7038,2025-01-02 11:00:00,7.87,0.93,4.4,10.87,4.36,61.58,0.0,93.69,1.74,236.2,2.13,244.8,380.52,447.88
Madrid,40.4168,-3.7038,2025-01-02 12:00:00,9.38,0.3,4.84,11.99,4.17,53.13,0.0,93.61,2.35,242.3,2.74,248.1,386.02,458.02
Madrid,40.4168,-3.7038,2025-01-02 13:00:00,10.07,-0.19,4.94,12.07,4.03,48.99,0.0,93.54,2.55,243.7,2.97,248.4,344.73,412.0
Madrid,40.4168,-3.7038,2025-01-02 14:00:00,10.14,-0.52,4.81,11.04,3.94,47.66,0.0,93.5,2.62,243.9,3.08,247.7,258.35,316.35
Madrid,40.4168,-3.7038,2025-01-02 15:00:00,8.89,1.53,5.21,8.1,4.57,60.09,0.0,93.49,1.87,239.9,3.1,240.5,146.15,180.3
Madrid,40.4168,-3.7038,2025-01-02 16:00:00,5.35,0.4,2.88,2.26,4.22,70.75,0.0,93.48,2.16,234.0,3.45,232.8,28.83,37.6
Madrid,40.4168,-3.7038,2025-01-02 17:00:00,3.44,-1.4,1.02,-0.16,3.69,70.76,0.0,93.49,2.41,238.5,3.74,237.1,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 18:00:00,2.74,-1.82,0.46,-0.78,3.57,71.97,0.0,93.52,2.39,248.7,3.72,247.1,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 19:00:00,2.32,-2.24,0.04,-1.27,3.45,71.68,0.0,93.54,2.28,259.1,3.5,257.6,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 20:00:00,2.19,-2.76,-0.29,-1.92,3.32,69.63,0.0,93.54,2.07,263.6,3.11,262.2,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 21:00:00,1.94,-3.19,-0.62,-2.75,3.21,68.53,0.0,93.52,1.87,263.6,2.73,262.6,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 22:00:00,1.83,-3.36,-0.76,-3.04,3.17,68.21,0.0,93.53,1.81,267.2,2.6,266.5,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-02 23:00:00,1.59,-3.54,-0.97,-3.47,3.12,68.29,0.0,93.51,1.75,269.0,2.51,268.4,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-03 00:00:00,1.27,-3.67,-1.2,-3.89,3.09,69.18,0.0,93.47,1.74,264.4,2.47,264.0,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-03 01:00:00,0.84,-3.69,-1.42,-4.13,3.09,71.33,0.01,93.44,1.84,258.7,2.63,258.1,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-03 02:00:00,0.22,-3.61,-1.7,-4.27,3.11,75.08,0.09,93.43,1.95,253.9,2.83,253.4,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-03 03:00:00,-0.31,-3.52,-1.92,-4.3,3.13,78.76,0.18,93.41,1.93,251.6,2.82,251.0,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-03 04:00:00,-0.72,-3.47,-2.09,-4.33,3.14,81.72,0.11,93.4,1.8,250.6,2.66,250.0,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-03 05:00:00,-0.93,-3.42,-2.17,-4.22,3.16,83.67,0.07,93.38,1.66,249.2,2.44,248.4,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-03 06:00:00,-1.06,-3.33,-2.2,-4.03,3.18,85.12,0.07,93.39,1.57,243.4,2.32,242.6,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-03 07:00:00,-1.44,-3.18,-2.31,-3.98,3.21,88.68,0.29,93.4,1.69,237.8,2.54,236.9,0.0,0.0
Madrid,40.4168,-3.7038,2025-01-03 08:00:00,0.14,-1.87,-0.86,0.15,3.55,86.15,0.52,93.41,1.72,234.0,2.71,234.8,63.22,94.57
Madrid,40.4168,-3.7038,2025-01-03 09:00:00,2.27,-1.45,0.41,3.82,3.66,76.22,0.11,93.43,2.05,230.3,2.24,231.3,145.38,231.3
Madrid,40.4168,-3.7038,2025-01-03 10:00:00,4.83,-0.37,2.23,7.16,3.97,69.01,0.02,93.46,2.57,240.3,3.05,244.4,211.85,348.12
